인덱스,누적_용량(Ah),절대값_용량(Ah),전류(A),전압(V),
192,0.025587773,0.025587773,0.47993042,1.267715454,
193,0.025721084,0.025721084,0.479899292,1.26894104,
194,0.025854396,0.025854396,0.47993042,1.270626221,
195,0.025987707,0.025987707,0.47993042,1.2724646,
196,0.026121017,0.026121017,0.47993042,1.273996582,
197,0.02625433,0.02625433,0.479899292,1.275681763,
198,0.026387633,0.026387633,0.479619141,1.277366943,
199,0.026520852,0.026520852,0.479588013,1.279052124,
200,0.026654071,0.026654071,0.479588013,1.280584106,
201,0.02678729,0.02678729,0.479588013,1.282422485,
202,0.026920509,0.026920509,0.479556885,1.28380127,
203,0.027053729,0.027053729,0.479588013,1.285333252,
204,0.027186947,0.027186947,0.479619141,1.287171631,
205,0.027320166,0.027320166,0.479588013,1.289163208,
206,0.027453385,0.027453385,0.479619141,1.29069519,
207,0.027586606,0.027586606,0.479556885,1.292380371,
208,0.027719826,0.027719826,0.479588013,1.294065552,
209,0.027853046,0.027853046,0.479588013,1.295750732,
210,0.027986267,0.027986267,0.479588013,1.297435913,
211,0.028119487,0.028119487,0.479588013,1.299121094,
212,0.028252706,0.028252706,0.479588013,1.300959473,
213,0.028385924,0.028385924,0.479556885,1.302491455,
214,0.028519144,0.028519144,0.479588013,1.304329834,
215,0.028652364,0.028652364,0.479588013,1.306015015,
216,0.028785582,0.028785582,0.479588013,1.307700195,
217,0.028918802,0.028918802,0.479588013,1.309232178,
218,0.029052022,0.029052022,0.479588013,1.311223755,
219,0.029185243,0.029185243,0.479588013,1.313215332,
220,0.029318463,0.029318463,0.479588013,1.314747314,
221,0.029451682,0.029451682,0.479556885,1.316279297,
222,0.029584902,0.029584902,0.479588013,1.318117676,
223,0.029718122,0.029718122,0.479588013,1.319649658,
224,0.029851344,0.029851344,0.479619141,1.321181641,
225,0.029984565,0.029984565,0.479588013,1.32302002,
226,0.030117783,0.030117783,0.479588013,1.324552002,
227,0.030251003,0.030251003,0.479588013,1.326390381,
228,0.030384222,0.030384222,0.479588013,1.328075562,
229,0.030517441,0.030517441,0.479588013,1.329760742,
230,0.030650661,0.030650661,0.479619141,1.331292725,
231,0.030783881,0.030783881,0.479588013,1.332977905,
232,0.030917101,0.030917101,0.479619141,1.334356689,
233,0.031050322,0.031050322,0.479650269,1.336195068,
234,0.031183603,0.031183603,0.479805908,1.337727051,
235,0.031316915,0.031316915,0.47993042,1.339412231,
236,0.031450225,0.031450225,0.479961548,1.341097412,
237,0.031583538,0.031583538,0.47993042,1.342782593,
238,0.031716849,0.031716849,0.47993042,1.344161377,
239,0.031850162,0.031850162,0.47993042,1.345693359,
240,0.031983473,0.031983473,0.47993042,1.34737854,
241,0.032116785,0.032116785,0.47993042,1.348757324,
242,0.032250096,0.032250096,0.479899292,1.350442505,
243,0.032383408,0.032383408,0.47993042,1.351974487,
244,0.032516721,0.032516721,0.47993042,1.353659668,
245,0.032650031,0.032650031,0.479899292,1.355038452,
246,0.032783342,0.032783342,0.47993042,1.356570435,
247,0.032916654,0.032916654,0.47993042,1.358102417,
248,0.033049967,0.033049967,0.479899292,1.359481201,
249,0.033183279,0.033183279,0.47993042,1.361166382,
250,0.033316591,0.033316591,0.47993042,1.36223877,
251,0.033449902,0.033449902,0.479899292,1.363770752,
252,0.033583213,0.033583213,0.479899292,1.365302734,
253,0.033716525,0.033716525,0.479899292,1.366987915,
254,0.033849838,0.033849838,0.479961548,1.368366699,
255,0.033983148,0.033983148,0.47993042,1.369745483,
256,0.03411646,0.03411646,0.47993042,1.371124268,
257,0.034249774,0.034249774,0.479899292,1.372349854,
258,0.034383085,0.034383085,0.479899292,1.374035034,
259,0.034516397,0.034516397,0.479899292,1.37526062,
260,0.034649709,0.034649709,0.47993042,1.376486206,
261,0.034783023,0.034783023,0.47993042,1.378018188,
262,0.034916334,0.034916334,0.479899292,1.379550171,
263,0.035049647,0.035049647,0.479961548,1.380928955,
264,0.035182957,0.035182957,0.47993042,1.382001343,
265,0.035316268,0.035316268,0.479899292,1.383533325,
266,0.03544958,0.03544958,0.479899292,1.384605713,
267,0.035582891,0.035582891,0.47993042,1.386137695,
268,0.035716203,0.035716203,0.47993042,1.387363281,
269,0.035849516,0.035849516,0.47993042,1.388588867,
270,0.03598278,0.03598278,0.479588013,1.389814453,
271,0.036115999,0.036115999,0.479588013,1.391193237,
272,0.036249217,0.036249217,0.479588013,1.392418823,
273,0.036382437,0.036382437,0.479619141,1.393644409,
274,0.036515655,0.036515655,0.479619141,1.394869995,
275,0.036648874,0.036648874,0.479650269,1.395942383,
276,0.036782093,0.036782093,0.479588013,1.397167969,
277,0.036915312,0.036915312,0.479588013,1.398393555,
278,0.03704853,0.03704853,0.479588013,1.399619141,
279,0.037181749,0.037181749,0.479588013,1.400691528,
280,0.037314969,0.037314969,0.479556885,1.401763916,
281,0.037448189,0.037448189,0.479619141,1.402989502,
282,0.037581408,0.037581408,0.479588013,1.403908691,
283,0.037714628,0.037714628,0.479588013,1.405287476,
284,0.037847849,0.037847849,0.479588013,1.406513062,
285,0.03798107,0.03798107,0.479588013,1.407432251,
286,0.038114288,0.038114288,0.479588013,1.408504639,
287,0.038247508,0.038247508,0.479588013,1.409577026,
288,0.038380726,0.038380726,0.479619141,1.410649414,
289,0.038513946,0.038513946,0.479619141,1.411721802,
290,0.038647167,0.038647167,0.479619141,1.412794189,
291,0.038780388,0.038780388,0.479588013,1.413866577,
292,0.038913608,0.038913608,0.479588013,1.414938965,
293,0.039046826,0.039046826,0.479556885,1.415704956,
294,0.039180046,0.039180046,0.479588013,1.416930542,
295,0.039313266,0.039313266,0.479588013,1.41800293,
296,0.039446486,0.039446486,0.479588013,1.418922119,
